name,8Cell_Ctrl_rep1,8Cell_Ctrl_rep2,8Cell_Ctrl_rep3,8Cell_siRarg_rep1,8Cell_siRarg_rep2,8Cell_siRarg_rep3,diff,pval,class
Trp63,0.208022497666332,0.444592934002342,0.174529324981,0.245773838977178,0.502870710325927,0.513116454878947,0.144872082510793,0.300568629801121,none
Trp73,0.14571127128271,0.169618703740197,0.0960862068175391,0.13821119821058,0.23958783108923,0.0501355629660818,0.0055061368084818,0.92997175761061,none
Trpa1,0.290943506041666,0.409881055571854,0.314254018999208,0.424418135188457,0.269833533784798,0.350505020460698,0.00989270294040834,0.871954999743964,none
Trpc1,0.0601972545244456,0.445474658434548,0.109406167064079,0.110102784082348,0.282109015345766,0.215011432208409,-0.00261828279551668,0.985011037003804,none
Trpc2,0,0,0,0,0,0,0,,none
Trpc3,0.10318345470668,0.0990180685250582,0,0,0.048985799353021,0,-0.0510719079595723,0.244531784450441,none
Trpc4,0.0358979285704927,0.0749705496005723,0.0531887540081541,0,0,0.0314680758140808,-0.0441963854550461,0.0456534990389057,none
Trpc4ap,3.87305006377412,4.05474010442352,3.96098467174819,3.9042089379373,3.92552490183857,3.76476496737281,-0.0980920109323882,0.248859133323649,none
Trpc5,0.568920368413591,0.429551294586028,0.345146365157799,0.468710724023591,0.31342715248897,0.258933673665919,-0.10084882599298,0.327980067981965,none
Trpc5os,1.44309832913463,1.20041332272453,1.14566149671694,1.53837570086012,1.55875485424552,1.25356528572922,0.187174230752922,0.236076448532353,none
Trpc6,0.333642637695635,0,0,0.301808972555172,0,0.141372366084325,0.0365129003146208,0.80886180632751,none
Trpc7,0,0.0399908547190158,0,0.0100154812285796,0,0,-0.00999179116347872,0.507436303703629,none
Trpd52l3,0.0291905245074842,0.0608335079078157,0.0363677434716679,0,0.0181572479030328,0,-0.036078175994645,0.033399545294548,none
Trpm1,0.0110607573324009,0.028546196766747,0.0106593766066978,0.0144639855040944,0.0415162284600803,0.00439761841373913,0.00337050055735603,0.801605309479049,none
Trpm2,0.0941274756400614,0.114641843488885,0,0.127956729310823,0.0235580664267953,0,-0.0190848411304425,0.736215690844564,none
Trpm3,0.640062884262651,0.626594503431798,0.45936338984404,0.681967985433735,0.414449393806059,0.444429832778603,-0.0617245218400301,0.580071111431436,none
Trpm4,0.160655626819967,0.285758329188827,0.202140215530408,0.105450416319639,0.115701469105643,0.243126749911613,-0.0614251787341026,0.346116164343124,none
Trpm5,0.0795665325473885,0.0110659842009334,0.070819880296877,0,0.0106698441538729,0.0230662502786281,-0.0425721008708993,0.131848565116564,none
Trpm6,0.482344152613999,0.284175967164073,0.172153670656933,0.19518074282684,0.449765243509094,0.111021467047118,-0.060902112350651,0.678252851130026,none
Trpm7,3.92291962605026,3.85166118938502,3.95077143192272,3.99679581146572,4.00588191553235,3.89570253122466,0.0576760036215802,0.278346905815567,none
Trpm8,0,0,0,0,0,0,0,,none
Trps1,1.57953676427821,1.50610790086128,1.44521825678269,1.5330888933513,1.34449163870892,1.51697067330789,-0.0454372388513593,0.561063663469926,none
Trpt1,0.902250241927352,0.704185813919297,0.845162652222642,1.19892130149515,0.87652646921125,0.788682931078868,0.137510664571992,0.37512610873152,none
Trpv1,0,0,0,0,0.101669653945839,0,0.0338898846486129,0.373900966300059,none
Trpv2,0.135561242412512,0,0,0.249748106894749,0.0288715142167482,0.0996140408590438,0.0808908065193429,0.365169924120605,none
Trpv3,0.384176374028222,0.0771023937440078,0.213953451223611,0.341671686645461,0.341148071161615,0.324332328227326,0.11063995567952,0.281708659388332,none
Trpv4,0.209132343798781,0.1112784870521,0.100165461002942,0,0,0.0890707756795361,-0.110501838724762,0.0725338883406053,none
Trpv5,0.500079754108869,0.457884407238843,0.403791909302903,0.675589357734341,0.63970632209994,0.540988570432044,0.16484272653857,0.0281048977989532,none
Trpv6,0.00785627800705077,0.0556416922065047,0.00853607323814271,0.126829613837216,0.0478356611682803,0.0642929755439094,0.0556414023659024,0.125477335654903,none
Trrap,5.76640518649095,5.84765307352406,5.82328962401569,5.75880857695119,5.659088399495,5.94955985569224,-0.0232970172974252,0.805470246646295,none
Trub1,4.4112926030071,4.37139200488627,4.50186482399595,4.3446888204952,4.49848618113279,4.17488711878778,-0.0888291038245148,0.429261607650491,none
Trub2,5.04490378463422,4.93966811244253,5.15227593227401,5.25346165655748,4.85455626996806,4.98491768949457,-0.0146374044435467,0.91736043801223,none
Try10,0,0,0,0,0,0,0,,none
Try4,0,0,0,0,0,0,0,,none
Try5,0,0,0,0,0,0,0,,none
Tsacc,0.265932048367205,0.152961454917796,0.187208748903551,0.173742512091007,0.177321691071073,0.103604978571857,-0.0504776901515381,0.28734094387583,none
Tsc1,3.35913616576377,3.37171389872325,3.6935585345981,3.59614099321627,3.42882185371963,3.80120324871385,0.133919165521544,0.432297414439485,none
Tsc2,2.58057860153141,2.64946088373292,2.55053866091098,2.57283795373995,2.48242926052972,2.59369925165925,-0.0438705600821319,0.384651418109597,none
Tsc22d1,3.96685396050041,3.98355977121026,3.900243309123,4.00086707295034,4.11465417810123,4.02481859790268,0.0965609360401944,0.0879654996139434,none
Tsc22d2,5.81011638275771,5.92622510457064,5.88351452615469,5.80215888272026,5.70263875130927,5.70610715093128,-0.136317076174075,0.0442195280122258,none
Tsc22d3,0.289211995552686,0.291437109887743,0.522091468368051,0.153596874583243,0,0.346064171184193,-0.201026509347015,0.187104154111397,none
