gene,MII,Zygote,l2cell,4cell,8cell,Morula,ICM,TE,e2cell,m2cell,mES,TSC
Psmd4,7.06522782922249,8.50565835202241,6.44268742387835,7.95579396258842,7.72915158694235,8.65966089304088,8.28059607208636,7.8462321186599,6.3269053918037,6.26756048085086,7.62093307652158,7.37748673553311
Psmd5,5.29007829418206,5.49262085151721,7.11581377343926,4.95954870012973,6.24433798722597,6.05576632559667,6.19069560374404,4.13746515175482,4.25883857230509,4.49469815064884,5.96373976984304,5.2393746500471
Psmd6,2.90207388286756,5.8757828654519,5.35571386226556,5.50427625345993,7.00917539363737,7.41045915164103,6.70342802045708,4.90631701935238,5.13295930855029,5.85995256565766,6.44173632989251,6.59526608807524
Psmd7,5.51039253576181,5.61073827541169,6.37567765316748,8.34835219524687,8.47118445181255,8.20780465494536,8.449294621094,7.6327654565598,5.35393929868935,6.17187489100665,6.80030772793888,5.84753294725596
Psmd8,6.04618031574108,7.16034532799676,7.01761091016788,9.23820791935557,9.30021781024896,10.4729340135191,9.31062421845379,9.97626182804045,4.46539238106966,5.10727609763999,8.01443874469767,7.76145091270041
Psmd9,7.95407932531106,7.24873615523976,1.37438225623943,2.826219197843,4.14468747652548,5.44325759523417,4.56518860922877,4.45207859140037,5.79692343357302,3.62328617153643,5.28617500870872,5.55422097953265
Psme1,0,0.0711808193597628,0.842130453133429,3.85903320000091,4.39192824823179,4.83784344256899,5.4512953271143,6.94342722984243,0,1.11200393408415,6.36168281343387,6.80218597582366
Psme2,0.0567284583088439,0.423979135238954,0.606122759632116,0.300262003970156,1.63368238660801,1.81052589901302,4.00430606217608,4.3342307522631,2.54581585304365,3.83811583715393,4.48878740238392,4.79666975711048
Psme3,6.96991688528253,7.32214023900554,6.48156087443479,4.88027078650771,5.34357089687028,5.32658577162266,4.33802979347542,5.3335799854807,8.17017934378165,7.65115221421562,5.99774122178239,6.33699305871605
Psme4,8.25930195831908,6.69012392603803,10.0104591833515,5.7459687811679,6.30214145542919,6.27341219920534,6.77294001747338,2.21647626363831,6.9751868186542,8.21686127998417,8.07529028889644,7.07880881675061
Psmf1,4.38213589874957,7.76656905635961,2.88583045105615,4.61589976425009,4.79348184421499,5.26541053948614,4.89253439971326,5.54842027496319,6.05982494254817,4.54322692331174,5.55409266112742,5.48473828042765
Psmg1,6.38844288435397,6.54101240597838,6.49504389732138,3.01132536231122,5.27254144628039,5.68269277461297,6.14321100238756,5.24057274727905,4.30186905625571,4.51692690925794,6.43750464079589,6.16090846614111
Psmg2,0.182072320005226,0.537974693222707,0,3.42964690642247,6.11919032375517,7.29749170614171,7.30512246632903,7.24608762843341,0.0361835642031995,2.7115268670641,6.60904596789778,6.16615745558371
Psmg3,3.93433788720016,3.88410293019531,0.489702893538714,6.66755918683016,6.74027463736888,7.43251660546856,7.41989613996325,6.4693094726445,3.59433239162869,2.8214959148938,5.07307371625871,4.41582239206066
Psmg4,0.734456714251232,1.10988762072767,0,0.808603574741644,2.6399879171494,3.78931653799755,5.13419744592515,4.76261851801582,1.32842807575991,1.56876395272747,3.16809936918278,3.18448220580493
Psors1c2,0,0,0,0,0.328924316188471,0,0.335677251083942,0,0,0.92827073520141,1.42989487995653,0.627074455542437
Pspc1,3.2472098789578,2.49126113207879,3.85335564419945,2.58045902172197,6.59260799762503,6.04964516291478,5.98079261203285,4.89910318071252,1.38318577745416,3.68924342839361,7.71163935530317,8.01033262413839
Psph,2.18920181204875,1.18530298014315,3.21714550552369,0.706815307762264,4.32230087856694,4.32947236643026,3.77531346240534,5.1716318953576,1.90674870589266,3.6248538520067,5.46796257840666,4.5233985392915
Pspn,0.131166757634507,0,0,0,0,0.259441737044668,0,0.322900483985373,0,0,0.252899666234429,0.151100767338144
Psrc1,6.65026716995965,6.93676607863573,3.3343055396858,0.23602672480622,3.48389066560309,6.12963503391888,7.31783384949823,5.94142486328717,6.68965072317198,4.03229124890855,6.55539430081826,6.63437440078127
Pstk,1.1056016772021,1.61600669945789,0,1.67525682133975,2.58072393071111,4.17151079200546,4.82517490423374,4.64943013245093,1.45159139923255,2.06618569091954,4.03195184349927,3.58652064220764
Pstpip1,1.16437564259769,4.45782171795897,0.16433205839874,0.106328182577199,0.157487157980788,2.73875700904166,0.545521089599948,0.556432257057369,3.11770906611609,2.12968724762561,1.9747776711078,2.08503723417198
Pstpip2,5.09981111059314,4.42873834844554,0.864029002535857,1.0395767949579,1.78303203239158,1.3867846693821,0.114513388911123,2.83686994286302,3.73929170938852,2.79585239428024,2.08683417649009,2.24291201171329
Ptafr,0,0.577008267343006,0,0.0159867648707094,0,0,0,0.127192176838539,1.18602932282348,0.446477575313127,0.0170345485984919,0
Ptar1,1.43803700446155,0.854720945374345,0,0.543089577358646,2.05904231931067,0.942083574572258,0.217555495626305,0.435507177838723,1.8035613921517,0.66711513445216,1.55185220643975,2.09367375647166
